chr	pos	gene	strand	type	stop_pos
chr19	45971469	FOSB	forward	five_prime_utr	45971714
chr9	20622494	MLLT3	reverse	five_prime_utr	20622342
chr10	80828979	ZMIZ1	forward	five_prime_utr	80878694
chr3	9466176	SETD5	forward	five_prime_utr	9466208
chr16	58717969	SLC38A7	reverse	five_prime_utr	58717796
chr9	129677217	RALGPS1	forward	five_prime_utr	129677258
chr3	190231890	IL1RAP	forward	five_prime_utr	190236418
chr16	70432835	ST3GAL2	reverse	five_prime_utr	70432788
chr17	19185267	EPN2	forward	five_prime_utr	19185386
chr12	52445305	NR4A1	forward	five_prime_utr	52446260
chr14	77662562	TMEM63C	forward	five_prime_utr	77662639
chr19	35168750	ZNF302	forward	five_prime_utr	35169659
chr1	172413168	PIGC	reverse	five_prime_utr	172411904
chr2	99342961	MGAT4A	reverse	five_prime_utr	99342929
chr1	6052414	NPHP4	reverse	five_prime_utr	6052304
chr1	150947190	CERS2	reverse	five_prime_utr	150946897
chr19	50084701	PRRG2	forward	five_prime_utr	50084742
chr16	3508138	NAA60	forward	five_prime_utr	3508185
chr14	81902682	STON2	reverse	five_prime_utr	81902548
chr9	6758128	KDM4C	forward	five_prime_utr	6758418
chr18	13730674	RNMT	forward	five_prime_utr	13730751
chr6	30181172	TRIM26	reverse	five_prime_utr	30172466
chr4	73935432	COX18	reverse	five_prime_utr	73935400
chrX	123480359	SH2D1A	forward	five_prime_utr	123480394
chr1	46151259	GPBP1L1	reverse	five_prime_utr	46126868
chr14	62162251	HIF1A	forward	five_prime_utr	62162379
chr4	48908767	OCIAD2	reverse	five_prime_utr	48906649
chr12	2162482	CACNA1C	forward	five_prime_utr	2162568
chr3	40566554	ZNF621	forward	five_prime_utr	40567276
chr7	7606692	MIOS	forward	five_prime_utr	7607279
chr2	209119805	IDH1	reverse	five_prime_utr	209119722
chr6	99873144	PNISR	reverse	five_prime_utr	99864245
chr1	173837506	ZBTB37	forward	five_prime_utr	173839343
chr6	86352636	SYNCRIP	reverse	five_prime_utr	86352511
chr1	155243036	CLK2	reverse	five_prime_utr	155242878
chr3	40566560	ZNF621	forward	five_prime_utr	40566772
chr13	46961377	RUBCNL	reverse	five_prime_utr	46961120
chr6	31763368	VARS	reverse	five_prime_utr	31763336
chr6	55739981	BMP5	reverse	five_prime_utr	55739901
chr1	163291948	NUF2	forward	five_prime_utr	163295826
chr12	132413926	PUS1	forward	five_prime_utr	132413982
chr16	89724085	CHMP1A	reverse	five_prime_utr	89724056
chr8	144679131	EEF1D	reverse	five_prime_utr	144679048
chr17	66511142	RP11-120M18.2	forward	five_prime_utr	66511237
chr5	98105321	RGMB	forward	five_prime_utr	98106370
chr17	45909245	LRRC46	forward	five_prime_utr	45909274
chr7	83823962	SEMA3A	reverse	five_prime_utr	83823933
chr5	140562041	PCDHB16	forward	five_prime_utr	140562112
chr6	28219813	ZKSCAN4	reverse	five_prime_utr	28219784
chr3	167813347	GOLIM4	reverse	five_prime_utr	167813231
chr2	27357449	PREB	reverse	five_prime_utr	27357354
chr5	60457005	SMIM15	reverse	five_prime_utr	60456937
chr13	31038430	HMGB1	reverse	five_prime_utr	31038266
chr10	125851851	CHST15	reverse	five_prime_utr	125806025
chr2	68546793	CNRIP1	reverse	five_prime_utr	68546665
chr16	29985700	TAOK2	forward	five_prime_utr	29985792
chr9	88714968	GOLM1	reverse	five_prime_utr	88714936
chr1	235530764	TBCE	forward	five_prime_utr	235530823
chr22	37318122	CSF2RB	forward	five_prime_utr	37318241
chr15	75074877	CSK	forward	five_prime_utr	75090592
chr1	220263117	BPNT1	reverse	five_prime_utr	220263055
chr1	75198727	CRYZ	reverse	five_prime_utr	75198626
chr4	90758136	SNCA	reverse	five_prime_utr	90757960
chr4	83295103	HNRNPD	reverse	five_prime_utr	83295059
chr11	86666346	FZD4	reverse	five_prime_utr	86666302
chr17	65373782	PITPNC1	forward	five_prime_utr	65373937
chr3	182987352	B3GNT5	forward	five_prime_utr	182987432
chr12	49658894	TUBA1C	forward	five_prime_utr	49658962
chr14	23341163	LRP10	forward	five_prime_utr	23341213
chr19	39881695	PAF1	reverse	five_prime_utr	39881537
chr1	93811719	DR1	forward	five_prime_utr	93811778
chr11	36531743	TRAF6	reverse	five_prime_utr	36531663
chr1	86174067	ZNHIT6	reverse	five_prime_utr	86174038
chr22	23522893	BCR	forward	five_prime_utr	23523099
chr19	56915748	ZNF583	forward	five_prime_utr	56915825
chr1	226595765	PARP1	reverse	five_prime_utr	226595676
chr22	39052709	CBY1	forward	five_prime_utr	39052970
chr18	32870094	ZSCAN30	reverse	five_prime_utr	32870044
chr7	50516871	FIGNL1	reverse	five_prime_utr	50515909
chr5	138642934	MATR3	forward	five_prime_utr	138643020
chr4	57845087	POLR2B	forward	five_prime_utr	57845128
chr8	103862311	AZIN1	reverse	five_prime_utr	103862219
chrX	84499186	ZNF711	forward	five_prime_utr	84500938
chrX	100878261	ARMCX3	forward	five_prime_utr	100878881
chr12	104350743	C12orf73	reverse	five_prime_utr	104350687
chr6	26365443	BTN3A2	forward	five_prime_utr	26365499
chr8	41906755	KAT6A	reverse	five_prime_utr	41906669
chr11	14380685	RRAS2	reverse	five_prime_utr	14380563
chr19	2236847	SF3A2	forward	five_prime_utr	2236921
chr17	35851678	DUSP14	forward	five_prime_utr	35870818
chr12	21654144	RECQL	reverse	five_prime_utr	21652549
chr15	42787865	SNAP23	forward	five_prime_utr	42787915
chr8	41906813	KAT6A	reverse	five_prime_utr	41906781
chr12	74931751	ATXN7L3B	forward	five_prime_utr	74931810
chr10	104225814	MFSD13A	forward	five_prime_utr	104225924
chrX	101975947	BHLHB9	forward	five_prime_utr	101975997
chr1	231557969	EGLN1	reverse	five_prime_utr	231557910
chr5	68530694	CDK7	forward	five_prime_utr	68530738
chr4	88312360	HSD17B11	reverse	five_prime_utr	88312301
chr19	58740900	ZNF544	forward	five_prime_utr	58741773
chr11	65770345	BANF1	forward	five_prime_utr	65770536
chr19	9251061	ZNF317	forward	five_prime_utr	9266638
chr2	99225059	UNC50	forward	five_prime_utr	99225178
chr16	29985243	TAOK2	forward	five_prime_utr	29985317
chr4	134070600	PCDH10	forward	five_prime_utr	134070653
chr20	57090051	APCDD1L	reverse	five_prime_utr	57089923
chr11	122526503	UBASH3B	forward	five_prime_utr	122526532
chr5	88122870	MEF2C	reverse	five_prime_utr	88119718
chr9	116173199	C9orf43	forward	five_prime_utr	116173237
chr3	152017737	MBNL1	forward	five_prime_utr	152017769
chr18	48405550	ME2	forward	five_prime_utr	48405606
chr22	42084869	SNU13	reverse	five_prime_utr	42084828
chr12	57505147	STAT6	reverse	five_prime_utr	57504944
chr2	159313684	PKP4	forward	five_prime_utr	159313722
chr12	69956011	FRS2	forward	five_prime_utr	69956058
chr2	201754304	NIF3L1	forward	five_prime_utr	201754363
chr11	27494255	LGR4	reverse	five_prime_utr	27494187
chrX	129215506	ELF4	reverse	five_prime_utr	129215474
chr11	96123711	JRKL	forward	five_prime_utr	96123797
chr13	20735186	GJA3	reverse	five_prime_utr	20717432
chr14	93650932	MOAP1	reverse	five_prime_utr	93650900
chr22	29784467	AP1B1	reverse	five_prime_utr	29784258
chr1	155278682	FDPS	forward	five_prime_utr	155278819
chr19	56110870	FIZ1	reverse	five_prime_utr	56109266
chr12	70132738	RAB3IP	forward	five_prime_utr	70132770
chr1	170632273	PRRX1	forward	five_prime_utr	170632368
chr22	50277168	ZBED4	forward	five_prime_utr	50277224
chr1	54355136	YIPF1	reverse	five_prime_utr	54355026
chr2	219525077	BCS1L	forward	five_prime_utr	219525136
chr15	81293559	MESDC1	forward	five_prime_utr	81293678
chrX	102612027	TCEAL9	forward	five_prime_utr	102612074
chr1	145438743	TXNIP	reverse	five_prime_utr	145438784
chr1	185286117	IVNS1ABP	reverse	five_prime_utr	185280413
chr6	36646673	CDKN1A	forward	five_prime_utr	36648374
chr14	55494143	SOCS4	forward	five_prime_utr	55498629
chr2	219432980	USP37	reverse	five_prime_utr	219432897
chr1	51435966	CDKN2C	forward	five_prime_utr	51436007
chr11	43333537	API5	forward	five_prime_utr	43333647
chr8	130951926	FAM49B	reverse	five_prime_utr	130951879
chr1	184723965	EDEM3	reverse	five_prime_utr	184723861
chr4	7941467	AFAP1	reverse	five_prime_utr	7941384
chr14	23564805	C14orf119	forward	five_prime_utr	23564951
chr14	52037075	FRMD6	forward	five_prime_utr	52156414
chr16	89556959	ANKRD11	reverse	five_prime_utr	89556879
chr1	153895377	GATAD2B	reverse	five_prime_utr	153895234
chr2	106432955	NCK2	forward	five_prime_utr	106432987
chr6	17706933	NUP153	reverse	five_prime_utr	17706685
chr14	52118691	FRMD6	forward	five_prime_utr	52156414
chr1	46016516	AKR1A1	forward	five_prime_utr	46018118
chr11	34073321	CAPRIN1	forward	five_prime_utr	34073392
chrX	103401652	SLC25A53	reverse	five_prime_utr	103401611
chr5	149900507	NDST1	forward	five_prime_utr	149900587
chr12	59989959	SLC16A7	forward	five_prime_utr	59990021
chr15	59280042	RNF111	forward	five_prime_utr	59280125
chr6	31509788	DDX39B	reverse	five_prime_utr_three_prime_utr	31509723
chr4	40192908	RHOH	forward	five_prime_utr	40192967
chr8	87381187	WWP1	forward	five_prime_utr	87381261
chr1	53018768	ZCCHC11	reverse	five_prime_utr	53018619
chr14	38678265	SSTR1	forward	five_prime_utr	38678309
chr19	32897158	DPY19L3	forward	five_prime_utr	32897208
chr13	28019255	MTIF3	reverse	five_prime_utr	28019190
chr6	116580001	DSE	forward	five_prime_utr	116580087
chr4	119757113	SEC24D	reverse	five_prime_utr	119754851
chr2	96931703	TMEM127	reverse	five_prime_utr	96931650
chr12	49765044	SPATS2	forward	five_prime_utr	49854600
chr14	75159004	AREL1	reverse	five_prime_utr	75158879
chr15	74423557	ISLR2	forward	five_prime_utr	74423640
chr1	249139792	ZNF672	forward	five_prime_utr	249141315
chr8	17013903	ZDHHC2	forward	five_prime_utr	17014040
chr15	80216077	ST20-MTHFS	reverse	five_prime_utr	80215919
chr1	179262962	SOAT1	forward	five_prime_utr	179263075
chr1	160175260	PEA15	forward	five_prime_utr	160175316
chr1	46016699	AKR1A1	forward	five_prime_utr	46016749
chr19	9530765	ZNF266	reverse	five_prime_utr	9529770
chr4	48908743	OCIAD2	reverse	five_prime_utr	48906649
chr19	21688501	ZNF429	forward	five_prime_utr	21688545
chr15	56999485	ZNF280D	reverse	five_prime_utr	56999307
